355,Discussion: What is your favorite smartphone of 2020?,"<p>2020 has been an unusual year in many ways. The global pandemic threw a wrench in the execution of plans by smartphone brands, especially in countries where a total lockdown on all forms of non-essential economic activity was imposed. However, these barriers were not enough to contain the strong momentum of the smartphone industry that witnessed an almost usual release schedule &mdash; even though production and sales throughout the world were indisputably impacted. Despite this handicap, the smartphone industry saw great innovation and some of the best smartphones to buy in 2020. If you had to choose your absolute favorite smartphone for 2020, which one would that be? Let&rsquo;s discuss!</p>
",2020-12-30 19:28:09,2020-12-30 19:28:09,4,5,7
356,LG Stylo 7 5G leaked renders show LG is sticking with the stylus and 3.5mm headphone jack,"<p>The new intel comes courtesy of Steve Hemmerstoffer on Voice, who shared a few images of the Stylo 7 5G along with some details. There will reportedly be two versions of the Stylo 7, this one being the version that will support 5G; the other will top out at 4G/LTE.</p>

<p>The Stylo 7 5G will reportedly launch with a 6.8-inch flat display and a hole-punch cutout for the front-facing camera. The previous model featured a waterdrop notch, so the design has been tweaked somewhat. The device&rsquo;s overall size is said to measure in at 170.4 x 77.2 x 8.8mm (10mm with the rear camera bump).</p>
",2020-12-30 19:30:30,2020-12-30 19:30:30,1,5,8
357,Error code,"<p>i keep getting the dr1001 code whenever I triy going online</p>

<p>&nbsp;</p>
",2020-12-30 19:32:37,2020-12-30 19:32:37,3,1,16
358,Trigger JavaScript event if div innerText change,"<p>I want to make an alert when a div&#39;s innerText changes:</p>

<p><em>myDiv.addEventListener(&quot;change&quot;, function() {<br />
&nbsp; &nbsp; if (myDiv.innerText != &quot;some text&quot;)<br />
&nbsp; &nbsp; &nbsp; &nbsp; alert(&#39;innerText has changed.&#39;);<br />
},false);</em></p>

<p><em>Does not work, please help.</em></p>

<p>&nbsp;</p>
",2020-12-30 19:36:56,2020-12-30 19:36:56,3,0,22
359,9700k BSOD at 1.35v 5.0Ghz Gigabyte Aorus PRO,"<p>Just got a Gigabyte Aorus PRO and I get BSOD when trying to overclock at 1.35v to 5.0Ghz. Any ideas why? its brand new just got it in from Newegg today. XMP is enabled.<br />
&nbsp;</p>
",2020-12-30 19:41:03,2020-12-30 19:41:03,2,0,21
360,Scientists create a memory device the size of a single molecule,"<p>The way in which they did this was by placing a Gadolinium atom inside a Buckyball. &nbsp;</p>

<p><strong>youtube link deleted</strong></p>

<p>&nbsp;</p>
",2020-12-30 19:44:15,2020-12-30 19:44:15,1,2,16
361,Wall of Fire,"<p>You may or may not have heard about the &quot;Wall of Fire&quot; discovered by V2. The basics are, interstellar winds disrupted by the heliosphere form a thick blanket of plasma between us and the Oort cloud.<br />
Here&#39;s a short summary, with some additional sources listed therein: https://futurism.com/the-byte/solar-system-blanketed-giant-wall-fire/</p>

<p>Here&#39;s something to ponder regarding this subject. How is it that comets from the Oort cloud remain frozen after having passed through this barrier and into the heliosphere?</p>
",2020-12-30 19:45:39,2020-12-30 19:45:50,3,2,16
362,Ten years of Choice of Games: What are your favorites?z,"<p>As far as I can tell online, Choice of the Dragon was released on January 2, 2010.</p>

<p>As Choice of Games wraps up its first decade of games, I just wanted to know, which have been your favorites? I&rsquo;ve only tried about 10-15, so I&rsquo;d love to find more great ones!</p>

<p>My favorites have been Choice of Robots, Choice of Magic, Creatures Such as We, Deathless: The City&rsquo;s Thirst, and Slammed!.</p>

<p>What are yours?</p>
",2020-12-30 19:57:52,2020-12-30 19:57:52,2,1,16
363,The Hidden Courts,"<p>The Hidden Courts is my heavily work in progress choicescript game.<br />
You play as the child of a lord of a small court of Fae and travel to the king&rsquo;s court to learn your own path; that of a mage, a warrior, a trader or a commander.<br />
Either serve the king in right or wrong or come to betray him and see how you fare against the ancient rulers god like powers.<br />
So far it offers the following:</p>

<p>Gender options: male, female or enter your own<br />
A choice of one of four paths, which will only have a light impact on story and act as your main way of choosing which stat to advance<br />
What I intend to add in the future:<br />
Multiple romance options<br />
A story about fighting angels and demons, while gathering power and managing your life at court<br />
You can play what I have available so far here: <a href=""https://dashingdon.com/play/oscar/the-hidden-courts/mygame/ 2.9k"">https://dashingdon.com/play/oscar/the-hidden-courts/mygame/ 2.9k</a><br />
I would appreciate any feedback on typos, grammar, continuity and anything else you have to say<br />
I am open to suggestions regarding things to add to the story, but I would ask that you respect that in the end the story is mine and I will be creating a majority of it&rsquo;s outline myself</p>

<p>This thread consist mostly of me rambling to myself, but anyone is welcome to join my ramblings.</p>
",2020-12-30 19:59:59,2020-12-30 19:59:59,2,1,22
364,Leaked Galaxy S21+ photos show off the flat display,"<p>We&rsquo;ve seen the Galaxy S21 leak on a number of occasions, and it seems Samsung just can&rsquo;t keep the device under wraps. Following a series of leaked renders, the device has again appeared in the wild, giving us a better look at the flat display.</p>

<p><br />
The latest leak comes courtesy of MauriQHD on Twitter, who claims the images were obtained by a friend. The unidentified source seemingly shared three pictures of the Galaxy S21+, which provide a much closer look at the device&rsquo;s flat display. The images also reveal just how thin the phone&rsquo;s bezels are, while we get a good look at the hole punch where the front-facing camera sits.</p>
",2020-12-30 20:02:22,2020-12-30 20:02:22,1,5,21
365,403 Forbidden nginx,"<p>Hello, I had set up a gofundme yesterday and today I am trying to access the gofundme site and I am getting an error message 403 Forbidden nginx. I don&#39;t understand why I suddenly have no access? Any solution? Thank you!<br />
&nbsp;</p>
",2020-12-30 20:03:58,2020-12-30 20:03:58,2,0,21
366,Question Best way to update drivers on Lenovo Yoga 720 ?,"<p>Hello all,<br />
(hope this is the proper place to post this, was not sure)</p>

<p>I&#39;ve recently reinstalled windows 10 on my Yoga 720-15IKB Laptop (ideapad) - Type 80x7 (to be exact ;) , bought in 2017 or 18&#39; and am wondering if and how should I update my drivers.<br />
This is a laptop made for work - audio editing and live performance so I try to keep it as stable and as clean as possible. I think I&#39;d like to skip vantage and not to have something excess on my machine. especially the kind that likes to run in the backround.<br />
The drivers listed on the Lenovo site are from 2018 tops. Should I download some drivers from straight from the manufacturer ? e.g. NVIDIA or Intel?<br />
<strong>Most importantly:</strong> should I download any additional drivers at all? everything seems to be working fine right now. there are some unkown devices in the device manager but I havn&#39;t encountered any problem so far.<br />
thx in advance,<br />
cheers</p>
",2020-12-30 20:05:19,2020-12-30 20:05:19,4,0,16
367,mouse stops working,"<p>So I have a strange issue where the mouse stops working. I see the arrow move across the screen and it responds to left clicks on my browser for example. The issue is, it does not work anywhere else. For example if I move the mouse over the icons over the taskbar, I see them highlited which means it is responding but ramdomly it does not respond. I minimize my browser and try to left click and right click on my desktop and nothing. What I do to fix this is I bring up the taskbar with ctrl+alt+del and hit esc. I do this about 3-4 times and them the mouse works again. I&#39;ve been using windows for years and this is something totally new. Any advice would be greatly appreciated. Thanks.<br />
&nbsp;</p>
",2020-12-30 20:07:42,2020-12-30 20:07:42,2,0,21
368,Using preinstalled Windows on new disk drive.,"<p>I have a laptop with windows preinstalled and I have the recovery media. If I buy a new disk drive for the laptop will I be able to use my recovery media to install Windows on the new disk drive?<br />
&nbsp;</p>
",2020-12-30 20:08:47,2020-12-30 20:08:47,2,0,22
369,Midnight Sky (23rd December 2020) (Netflix) Directed By George Clooney,"<p>George Clooney is to direct and star in an adaptation of Lily Brooks-Dalton&#39;s sci-fi novel &#39;Good Morning, Midnight&#39;. It&#39;s premise sees an Artic scientist (Clooney) trying to make contact with an astronaut attempting to return to earth. Sounds like a winner for Netflix. Mark L Smith will adapt the screenplay.</p>

<p>Clooney To Direct &amp; Star In Netflix&#39;s &quot;Midnight&quot; - Dark Horizons</p>

<p>George Clooney to Direct, Star in Netflix Sci-Fi Adaptation &#39;Good Morning, Midnight&#39;</p>

<p>&nbsp;</p>
",2020-12-30 20:10:40,2020-12-30 20:10:40,2,3,16
370,Is there an app or website you can use to track and document your movie collection?,"<p>Any app or website people use to keep track of their bluray collection?<br />
Preferably letting you list if you have the 3D, 4K or Bluray disc?</p>
",2020-12-30 20:13:04,2020-12-30 20:13:04,3,3,22
371,I have lost my Windows 10 admin password. How can I find it?,"<p>I have lost my Windows 10 admin password. How can I find it?<br />
&nbsp;</p>
",2020-12-30 20:32:42,2020-12-30 20:32:42,2,1,22
372,File Explorer,"<p>What has happened to File(Windows) Explorer as in all versions previous to 2004/ How may I get it back.<br />
Thanks<br />
Linusdog</p>
",2020-12-30 20:33:45,2020-12-30 20:33:45,2,0,22
373,XP boot disk and boost USB trouble,"<p>So I was installing XP off an old disk of mine for a friend and there were a few scratches and it caused some dlls to go corrupt. It got to the starting windows phase and blue screened.</p>

<p>I made a bootable disk with a different bootable ISO that I downloaded from a forum. The cd reader wouldn&#39;t even read it. So I&#39;m thinking one of the corrupt dlls affected the cd drive. I then used rufus to create a bootable usb with that same ISO and tried another also. It booted, went through the loading then did the same thing as the disk... went to blue screen when it got to the starting windows part.</p>

<p>Please help. I would just install windows 7 if the computer would handle it. He&#39;s an old guy and likes the XP and the computer is maxed with 1gb ram.</p>

<p>Any ideas would help. Is there any way to boot from the backup image on the hdd? I looked through the BIOS and didn&#39;t see anything. Thanks in advance.</p>
",2020-12-30 20:34:36,2020-12-30 20:34:36,2,0,16
374,Picasa will not default to my email,"<p>I use Picasa and when I try to email my pictures I cannot get it to default to my email (RCN.COM) instead it only gives me a choice of Outlook or Gmail, an<br />
&nbsp;</p>
",2020-12-30 20:35:44,2020-12-30 20:35:44,2,0,22
375,Why do my Chrome tabs always reload when I switch between them?,"<p>This is something that has always happened on my Android phone, so I assumed it was a mobile thing. But now I&#39;m noticing that it does it on my Chromebook too. But it does *not* do it on my PC.</p>

<p>Is this some kind of Android/mobile Chrome type thing? Every time I move between tabs (maybe after a few minutes have passed), the tab always tries to reload rather than just simply being where it was when I last left it.</p>

<p>Thanks.</p>
",2020-12-30 20:37:07,2020-12-30 20:37:07,3,0,8
